OBJECTID,COUNTRY,HDI_Rank_2019,HDI_2019,Life_expectancy_at_birth_inYear,Expected_years_of_schooling_201,Mean_years_of_schooling_2019,GNI_per_capita_2019,HDI_Rank_2018,HDI_2000,HDI_2010,HDI_2018
194,India,129,0.647,69.4,12.3,6.5,6829,129,0.497,0.581,0.647
195,Iran,,,,,,,,,,
196,Kuwait,57,0.808,75.4,13.8,7.3,71164,57,0.786,0.794,0.808
197,Maldives,104,0.719,78.6,12.1,6.8,12549,104,0.61,0.669,0.719
198,Nepal,147,0.579,70.5,12.2,4.9,2748,147,0.446,0.527,0.579
199,Oman,47,0.834,77.6,14.7,9.7,37039,47,0.704,0.793,0.834
200,Pakistan,152,0.56,67.1,8.5,5.2,5190,152,0.449,0.524,0.56
201,Qatar,41,0.848,80.1,12.2,9.7,110489,41,0.816,0.834,0.848
202,Saudi Arabia,36,0.857,75,17,9.7,49338,36,0.744,0.81,0.857
203,Somalia,,,,,,,,,,
204,Sri Lanka,71,0.78,76.8,14,11.1,11611,71,0.687,0.75,0.78
205,Tajikistan,125,0.656,70.9,11.4,10.7,3482,125,0.538,0.63,0.656
206,Turkmenistan,108,0.71,68.1,10.9,9.8,16407,108,..,0.673,0.71
207,United Arab Emirates,35,0.866,77.8,13.6,11,66912,35,0.782,0.821,0.866
208,Yemen,177,0.463,66.1,8.7,3.2,1433,177,0.432,0.499,0.463
209,Armenia,81,0.76,74.9,13.2,11.8,9277,81,0.649,0.729,0.76
210,Azerbaijan,87,0.754,72.9,12.4,10.5,15240,87,0.641,0.732,0.754
211,Kazakhstan,50,0.817,73.2,15.3,11.8,22168,50,0.685,0.764,0.817
212,Kyrgyzstan,122,0.674,71.3,13.4,10.9,3317,122,0.594,0.636,0.674
213,Uzbekistan,108,0.71,71.6,12,11.5,6462,108,0.596,0.665,0.71
214,Christmas Island,,,,,,,,,,
215,Cocos Islands,,,,,,,,,,
216,Indonesia,111,0.707,71.5,12.9,8,11256,111,0.604,0.666,0.707
217,Timor-Leste,131,0.626,69.3,12.4,4.5,7527,131,0.505,0.62,0.626
218,Australia,6,0.938,83.3,22.1,12.7,44097,6,0.898,0.926,0.938
219,Nauru,,,,,,,,,,
220,New Caledonia,,,,,,,,,,
221,Norfolk Island,,,,,,,,,,
222,Papua New Guinea,155,0.543,64.3,10,4.6,3686,155,0.436,0.51,0.543
223,Solomon Islands,153,0.557,72.8,10.2,5.5,2027,153,0.476,0.524,0.557
224,Tuvalu,,,,,,,,,,
225,Vanuatu,141,0.597,70.3,11.4,6.8,2808,141,..,0.585,0.597
226,Cambodia,146,0.581,69.6,11.3,4.8,3597,146,0.419,0.535,0.581
227,Laos,,,,,,,,,,
228,Malaysia,61,0.804,76,13.5,10.2,27227,61,0.724,0.773,0.804
229,Myanmar,145,0.584,66.9,10.3,5,5764,145,0.424,0.523,0.584
230,Singapore,9,0.935,83.5,16.3,11.5,83793,9,0.818,0.909,0.935
231,Thailand,77,0.765,76.9,14.7,7.7,16129,77,0.649,0.721,0.765
232,Vietnam,,,,,,,,,,
233,Bangladesh,135,0.614,72.3,11.2,6.1,4057,135,0.47,0.549,0.614
234,Bhutan,134,0.617,71.5,12.1,3.1,8609,134,..,0.571,0.617
235,China,85,0.758,76.7,13.9,7.9,16127,85,0.591,0.702,0.758
236,Brunei Darussalam,43,0.845,75.7,14.4,9.1,76389,43,0.805,0.832,0.845
237,Philippines,106,0.712,71.1,12.7,9.4,9540,106,0.631,0.672,0.712
238,South Korea,,,,,,,,,,
239,Mongolia,92,0.735,69.7,14.2,10.2,10784,92,0.589,0.697,0.735
240,North Korea,,,,,,,,,,
241,Guam,,,,,,,,,,
242,Japan,19,0.915,84.5,15.2,12.8,40799,19,0.855,0.885,0.915
243,Marshall Islands,117,0.698,73.9,12.4,10.9,4633,117,..,..,0.698
244,Micronesia,,,,,,,,,,
245,Northern Mariana Islands,,,,,,,,,,
246,Palau,55,0.814,73.7,15.6,12.4,16720,55,0.736,0.776,0.814
247,Russian Federation,49,0.824,72.4,15.5,12,25036,49,0.721,0.78,0.824
248,Spain,25,0.893,83.4,17.9,9.8,35041,25,0.825,0.865,0.893
249,Canarias,,,,,,,,,,
